Laranjal,,,,,
Codigo,Expositor,Posição,Unidade,Referencia,Quantidade 
1061859,Rinnai,1,Peça,,62
1088004,Rinnai ,1,Peça,,63
1080155,Rinnai,1,Peça,,64
0,Rinnai,1,Peça,,65
1082473,Rinnai,1,Peça,,66
1037300,Luxban,1,Peça,,67
1038047,Luxban,1,Peça,,68
1038044,Luxban,1,Peça,,69
1038046,Luxban,1,Peça,,70
1038043,Luxban,1,Peça,,71
1037301,Luxban,1,Peça,,72
1037302,Luxban,1,Peça,,73
1064179,Luxban,1,Peça,,74
1060162,Luxban,1,Peça,,75
1064178,Luxban,1,Peça,,76
1060161,Luxban,1,Peça,,77
1060160,Luxban,1,Peça,,78
1064177,Luxban,1,Peça,,79
1053356,Seccare,1,Peça,,80
1110708,Seccare,1,Peça,,81
1108914,Seccare,1,Peça,,82
1079695,Seccare,1,Peça,,83
1019267,Seccare,1,Peça,,84
1009768,Seccare,1,Peça,,85
1071916,Mesa Incepa,1,Peça,,86
1060528,Mesa Incepa,1,Peça,,87
1060522,Mesa Incepa,1,Peça,,88
1068694,Mesa Incepa,1,Peça,,89
1044773,Mesa Incepa,1,Peça,,90
1102744,Mesa Incepa,1,Peça,,91
1051209,Mesa Incepa,1,Peça,,92
1044772,Mesa Incepa,1,Peça,,93
1035162,Mesa Incepa,1,Peça,,94
1043830,Mesa Incepa,1,Peça,,95
1072363,Mesa Incepa,2,Peça,,96
1072365,Mesa Incepa,2,Peça,,97
1073379,Mesa Incepa,2,Peça,,98
1088084,Mesa Incepa,2,Peça,,99
1078148,Mesa Incepa,2,Peça,,100
1080583,Mesa Incepa,2,Peça,,101
1071932,Mesa Incepa,2,Peça,,102
1080164,Mesa Incepa,2,Peça,,103
1031370,Mesa Incepa,2,Peça,,104
1080130,Parede Roca,1,Peça,,105
1104082,Parede Roca,1,Peça,,106
1119721,Parede Roca,1,Peça,,107
1080138,Parede Roca,1,Peça,,108
1080583,Parede Roca,1,Peça,,109
1091807,Parede Roca,1,Peça,,110
1071866,Mesa Roca,1,Peça,,111
1071904,Mesa Roca,1,Peça,,112
0,Mesa Roca,1,Peça,,113
1088532,Mesa Roca,1,Peça,,114
1085775,Mesa Roca ,1,Peça,,115
1098431,Sanitários Roca,1,Peça,,116
1055781,Sanitários Roca,1,Peça,,117
1089805,Sanitários Roca,1,Peça,,118
1086687,Sanitários Roca,1,Peça,,119
1101583,Sanitários Roca,1,Peça,,120
1101584,Sanitários Roca,1,Peça,,121
1101585,Sanitários Roca,1,Peça,,122
1094322,Sanitários Roca,1,Peça,,123
1080079,Sanitários Roca,1,Peça,,124
1095013,Sanitários Roca,1,Peça,,125
1053267,Invinox,1,Peça,,126
1059767,Invinox,1,Peça,,127
1058987,Invinox,1,Peça,,128
1107744,Invinox,1,Peça,,129
1058988,Invinox,1,Peça,,130
1057863,Invinox,1,Peça,,131
1057726,Invinox,1,Peça,,132
1115103,Invinox,1,Peça,,133
1043232,Invinox,1,Peça,,134
1107752,Invinox,1,Peça,,135
1043228,Invinox,1,Peça,,136
1058032,Invinox,1,Peça,,137
1059211,Invinox,1,Peça,,138
1107748,Invinox,1,Peça,,139
1043225,Invinox,1,Peça,,140
1043229,Invinox,1,Peça,,141
1043221,Invinox,1,Peça,,142
0,Invinox,1,Peça,,143
